S/N,customer ID,Sex,Lga,Sen. Zone,Amount Granted,Principal Balance,Date Granted,Expiry Date,Principal paid,Interest paid,Principal past due,Interest past due,Paid amount,Balance,Total amount to be paid,Percentage
312,loan312,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
313,loan313,Male,IGUEBEN,EDO CENTRAL,"300,000.00","260,024.66",30/06/2022,29/06/2023,"39,975.34","9,024.66","83,512.33","4,512.33","49,000.00","278,000.00","327,000.00",14.98
314,loan314,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
315,loan315,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",05/01/2023,04/01/2024,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
316,loan316,Male,OREDO,EDO SOUTH,"150,000.00","136,806.17",21/06/2022,20/06/2023,"13,193.83","2,256.17","24,359.59","1,146.58","15,450.00","148,050.00","163,500.00",9.45
317,loan317,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
318,loan318,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
319,loan319,Male,ETSAKO WEST,EDO NORTH,"100,000.00","99,764.38",13/07/2022,12/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
320,loan320,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
321,loan321,Female,UHUNMWONDE,EDO SOUTH,"150,000.00","150,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"163,500.00","163,500.00",0.00
322,loan322,Female,OWAN EAST,EDO NORTH,"200,000.00","186,536.99",05/07/2022,04/07/2023,"13,463.01","14,536.99","186,536.99","13,463.02","28,000.00","190,000.00","218,000.00",12.84
323,loan323,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
324,loan324,Male,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
325,loan325,Female,EGOR,EDO SOUTH,"400,000.00","338,032.86",04/04/2022,03/04/2023,"61,967.14","12,032.86","104,808.65","3,057.53","74,000.00","362,000.00","436,000.00",16.97
326,loan326,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
327,loan327,Female,ETSAKO EAST,EDO NORTH,"100,000.00","54,499.99",05/07/2022,04/07/2023,"45,500.01","8,999.99","62,256.15","2,243.84","54,500.00","54,500.00","109,000.00",50.00
328,loan328,Female,ETSAKO EAST,EDO NORTH,"100,000.00","99,764.38",05/07/2022,04/07/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
329,loan329,Male,ETSAKO EAST,EDO NORTH,"200,000.00","200,000.00",27/06/2022,26/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
330,loan330,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
331,loan331,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,11/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
332,loan332,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",15/12/2022,14/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
333,loan333,Female,EGOR,EDO SOUTH,"200,000.00","168,024.66",04/04/2022,03/04/2023,"31,975.34","9,024.66","86,545.23","1,479.45","41,000.00","177,000.00","218,000.00",18.81
334,loan334,Male,OWAN WEST,EDO NORTH,"150,000.00","150,000.00",12/08/2022,11/08/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
335,loan335,Female,EGOR,EDO SOUTH,"400,000.00","349,499.95",14/09/2022,13/09/2023,"50,500.05","35,999.95","357,368.46","12,131.49","86,500.00","349,500.00","436,000.00",19.84
336,loan336,Female,IGUEBEN,EDO CENTRAL,"500,000.00","500,000.00",20/12/2022,19/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
337,loan337,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
338,loan338,Male,ESAN WEST,EDO CENTRAL,"200,000.00","149,999.99",29/06/2022,28/06/2023,"50,000.01","4,799.99","16,666.67","1,479.45","54,800.00","163,200.00","218,000.00",25.14
339,loan339,Male,ESAN WEST,EDO CENTRAL,"300,000.00","249,005.48",29/06/2022,28/06/2023,"50,994.52","6,805.48","40,112.33","2,293.15","57,800.00","269,200.00","327,000.00",17.68
340,loan340,Male,ESAN WEST,EDO CENTRAL,"100,000.00","99,239.73",29/06/2022,28/06/2023,760.27,739.73,0.00,0.00,"1,500.00","107,500.00","109,000.00",1.38
341,loan341,Male,IGUEBEN,EDO CENTRAL,"150,000.00","150,000.00",25/07/2022,24/07/2023,0.00,750.00,0.00,0.00,750.00,"162,750.00","163,500.00",0.46
342,loan342,Male,ETSAKO WEST,EDO NORTH,"200,000.00","200,000.00",09/08/2022,08/08/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
343,loan343,Male,OREDO,EDO SOUTH,"300,000.00","283,017.81",07/04/2022,05/04/2023,"16,982.19","11,317.81","125,000.00","10,317.81","28,300.00","298,700.00","327,000.00",8.65
344,loan344,Male,OREDO,EDO SOUTH,"300,000.00","281,731.51",06/04/2022,04/04/2023,"18,268.49","6,731.51","75,000.00","5,731.51","25,000.00","302,000.00","327,000.00",7.65
345,loan345,Female,ESAN SOUTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",27/06/2022,26/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","325,500.00","327,000.00",0.46
346,loan346,Female,OREDO,EDO SOUTH,"400,000.00","396,958.90",12/09/2022,08/09/2023,"3,041.10","2,958.90",0.00,0.00,"6,000.00","430,000.00","436,000.00",1.38
347,loan347,Female,EGOR,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
348,loan348,Male,OVIA NORTH-EAST,EDO SOUTH,"100,000.00","77,499.99",23/06/2022,22/06/2023,"22,500.01","8,999.99","90,004.11","7,495.88","31,500.00","77,500.00","109,000.00",28.90
349,loan349,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
350,loan350,Female,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
351,loan351,Female,EGOR,EDO SOUTH,"200,000.00","168,024.66",04/04/2022,03/04/2023,"31,975.34","9,024.66","86,545.23","1,479.45","41,000.00","177,000.00","218,000.00",18.81
352,loan352,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,12/12/2023,0.00,"1,250.00",0.00,0.00,"1,250.00","543,750.00","545,000.00",0.23
353,loan353,Female,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
354,loan354,Male,OVIA SOUTH-WEST,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
355,loan355,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,04/04/2023,0.00,750.00,0.00,0.00,750.00,"217,250.00","218,000.00",0.34
356,loan356,Female,OREDO,EDO SOUTH,"300,000.00","300,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
357,loan357,Female,OWAN EAST,EDO NORTH,"100,000.00","99,739.73",23/06/2022,22/06/2023,260.27,739.73,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
358,loan358,Male,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",08/07/2022,07/07/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
359,loan359,Male,ESAN WEST,EDO CENTRAL,"500,000.00","500,000.00",05/07/2022,04/07/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
360,loan360,Female,OWAN WEST,EDO NORTH,"100,000.00","99,764.38",18/08/2022,17/08/2023,235.62,764.38,0.00,0.00,"1,000.00","108,000.00","109,000.00",0.92
361,loan361,Male,ETSAKO EAST,EDO NORTH,"200,000.00","200,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
362,loan362,Female,AKOKO-EDO,EDO NORTH,"100,000.00","100,000.00",27/06/2022,26/06/2023,0.00,500.00,0.00,0.00,500.00,"108,500.00","109,000.00",0.46
363,loan363,Male,AKOKO-EDO,EDO NORTH,"200,000.00","200,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
364,loan364,Female,IGUEBEN,EDO CENTRAL,"300,000.00","300,000.00",01/07/2022,30/06/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
365,loan365,Female,OVIA SOUTH-WEST,EDO SOUTH,"100,000.00","100,000.00",25/07/2022,21/07/2023,0.00,0.00,,,0.00,"109,000.00","109,000.00",0.00
366,loan366,Female,ORHIONMWON,EDO SOUTH,"300,000.00","300,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"327,000.00","327,000.00",0.00
367,loan367,Female,EGOR,EDO SOUTH,"400,000.00","382,032.86",12/09/2022,08/09/2023,"17,967.14","12,032.86","133,333.32","12,032.86","30,000.00","406,000.00","436,000.00",6.88
368,loan368,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",20/09/2022,19/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
369,loan369,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
370,loan370,Female,ESAN NORTH-EAST,EDO CENTRAL,"150,000.00","150,000.00",19/07/2022,18/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
371,loan371,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
372,loan372,Female,IGUEBEN,EDO CENTRAL,"400,000.00","400,000.00",09/12/2022,07/12/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
373,loan373,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
374,loan374,Male,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
375,loan375,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",19/07/2022,18/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
376,loan376,Male,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
377,loan377,Male,ESAN WEST,EDO CENTRAL,"100,000.00","99,239.73",29/06/2022,28/06/2023,760.27,739.73,0.00,0.00,"1,500.00","107,500.00","109,000.00",1.38
378,loan378,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","495,321.92",05/01/2023,22/12/2023,"4,678.08",0.00,0.00,0.00,"4,678.08","540,321.92","545,000.00",0.86
379,loan379,Female,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
380,loan380,Female,OREDO,EDO SOUTH,"400,000.00","400,000.00",15/09/2022,14/09/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
381,loan381,Female,OREDO,EDO SOUTH,"200,000.00","68,490.42",05/04/2022,03/04/2023,"131,509.58","15,090.42","51,945.23","1,479.45","146,600.00","71,400.00","218,000.00",67.25
382,loan382,Female,ESAN NORTH-EAST,EDO CENTRAL,"100,000.00","73,608.22",30/06/2022,29/06/2023,"26,391.78","3,008.22","7,573.06",0.00,"29,400.00","79,600.00","109,000.00",26.97
383,loan383,Male,ESAN WEST,EDO CENTRAL,"200,000.00","152,945.21",30/06/2022,29/06/2023,"47,054.79","7,545.21","50,000.01","4,478.55","54,600.00","163,400.00","218,000.00",25.05
384,loan384,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",29/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
385,loan385,Male,OWAN WEST,EDO NORTH,"200,000.00","200,000.00",06/07/2022,05/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
386,loan386,Female,EGOR,EDO SOUTH,"500,000.00","500,000.00",12/09/2022,08/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
387,loan387,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
388,loan388,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
389,loan389,Female,ETSAKO EAST,EDO NORTH,"100,000.00","98,739.73",17/06/2022,16/06/2023,"1,260.27",739.73,0.00,0.00,"2,000.00","107,000.00","109,000.00",1.83
390,loan390,Male,ETSAKO EAST,EDO NORTH,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
391,loan391,Female,OREDO,EDO SOUTH,"300,000.00","300,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
392,loan392,Female,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
393,loan393,Female,ESAN WEST,EDO CENTRAL,"400,000.00","400,000.00",05/07/2022,04/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
394,loan394,Female,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",21/06/2022,20/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
395,loan395,Female,OREDO,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,04/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
396,loan396,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",09/12/2022,08/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
397,loan397,Female,EGOR,EDO SOUTH,"400,000.00","384,999.95",04/04/2022,03/04/2023,"15,000.05","35,999.95","400,000.00","34,999.95","51,000.00","385,000.00","436,000.00",11.70
398,loan398,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","195,487.67",08/04/2022,07/04/2023,"4,512.33","4,487.67","33,333.34","2,008.22","9,000.00","209,000.00","218,000.00",4.13
399,loan399,Female,ESAN NORTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",01/07/2022,30/06/2023,0.00,500.00,0.00,0.00,500.00,"326,500.00","327,000.00",0.15
400,loan400,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
401,loan401,Male,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",05/07/2022,04/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
402,loan402,Male,ETSAKO WEST,EDO NORTH,"150,000.00","150,000.00",13/07/2022,12/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","162,500.00","163,500.00",0.61
403,loan403,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,04/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
404,loan404,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",13/12/2022,12/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
405,loan405,Male,ESAN CENTRAL,EDO CENTRAL,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
406,loan406,Male,ORHIONMWON,EDO SOUTH,"300,000.00","300,000.00",05/04/2022,04/04/2023,0.00,0.00,,,0.00,"327,000.00","327,000.00",0.00
407,loan407,Female,ESAN NORTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
408,loan408,Male,ESAN WEST,EDO CENTRAL,"150,000.00","149,396.58",13/07/2022,12/07/2023,603.42,"1,146.58",0.00,0.00,"1,750.00","161,750.00","163,500.00",1.07
409,loan409,Male,IGUEBEN,EDO CENTRAL,"200,000.00","200,000.00",25/07/2022,24/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
410,loan410,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","187,024.66",05/04/2022,03/04/2023,"12,975.34","9,024.66","91,516.46","3,008.22","22,000.00","196,000.00","218,000.00",10.09
411,loan411,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","137,000.01",05/04/2022,03/04/2023,"62,999.99","18,000.01","146,545.21","10,454.80","81,000.00","137,000.00","218,000.00",37.16
412,loan412,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",19/12/2022,18/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
413,loan413,Female,AKOKO-EDO,EDO NORTH,"500,000.00","500,000.00",29/06/2022,27/06/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
414,loan414,Male,ESAN CENTRAL,EDO CENTRAL,"300,000.00","300,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
415,loan415,Male,OREDO,EDO SOUTH,"300,000.00","290,317.81",19/04/2022,13/04/2023,"9,682.19","11,317.81","125,000.00","10,317.81","21,000.00","306,000.00","327,000.00",6.42
416,loan416,Male,ESAN SOUTH-EAST,EDO CENTRAL,"300,000.00","300,000.00",27/06/2022,26/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","326,000.00","327,000.00",0.31
417,loan417,Male,ESAN CENTRAL,EDO CENTRAL,"300,000.00","281,731.51",07/04/2022,06/04/2023,"18,268.49","6,731.51","50,000.00","4,512.33","25,000.00","302,000.00","327,000.00",7.65
418,loan418,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,02/04/2023,0.00,"1,500.00",0.00,0.00,"1,500.00","543,500.00","545,000.00",0.28
419,loan419,Male,EGOR,EDO SOUTH,"200,000.00","185,336.99",17/06/2022,16/06/2023,"14,663.01","4,536.99","50,000.01","3,536.99","19,200.00","198,800.00","218,000.00",8.81
420,loan420,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
421,loan421,Male,ESAN WEST,EDO CENTRAL,"150,000.00","149,859.59",29/06/2022,28/06/2023,140.41,"1,109.59",0.00,0.00,"1,250.00","162,250.00","163,500.00",0.76
422,loan422,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
423,loan423,Male,ESAN WEST,EDO CENTRAL,"400,000.00","400,000.00",05/07/2022,04/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
424,loan424,Female,ESAN NORTH-EAST,EDO CENTRAL,"200,000.00","200,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
425,loan425,Female,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/07/2022,03/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
426,loan426,Female,OREDO,EDO SOUTH,"200,000.00","200,000.00",04/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
427,loan427,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,13/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
428,loan428,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",23/12/2022,22/12/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
429,loan429,Female,EGOR,EDO SOUTH,"500,000.00","372,000.01",05/04/2022,03/04/2023,"127,999.99","45,000.01","500,000.00","44,000.01","173,000.00","372,000.00","545,000.00",31.74
430,loan430,Male,IGUEBEN,EDO CENTRAL,"150,000.00","137,500.00",25/07/2022,24/07/2023,"12,500.00","1,950.00","12,500.00",396.58,"14,450.00","149,050.00","163,500.00",8.84
431,loan431,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
432,loan432,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",06/01/2023,05/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
433,loan433,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","200,000.00",08/04/2022,07/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
434,loan434,Male,OREDO,EDO SOUTH,"200,000.00","200,000.00",13/04/2022,12/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
435,loan435,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
436,loan436,Male,ESAN WEST,EDO CENTRAL,"200,000.00","183,008.22",05/04/2022,04/04/2023,"16,991.78","3,008.22","29,812.79","1,528.77","20,000.00","198,000.00","218,000.00",9.17
437,loan437,Female,OREDO,EDO SOUTH,"500,000.00","1,801.38",28/04/2022,24/05/2023,"498,198.62","41,301.38","250,684.94","18,616.44","539,500.00","5,500.00","545,000.00",98.99
438,loan438,Female,EGOR,EDO SOUTH,"200,000.00","186,545.21",04/04/2022,03/04/2023,"13,454.79","7,545.21","83,333.35","6,545.21","21,000.00","197,000.00","218,000.00",9.63
439,loan439,Female,ETSAKO EAST,EDO NORTH,"400,000.00","400,000.00",17/06/2022,15/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
440,loan440,Female,ETSAKO CENTRAL,EDO NORTH,"300,000.00","291,731.51",06/04/2022,05/04/2023,"8,268.49","6,731.51","75,000.00","6,731.51","15,000.00","312,000.00","327,000.00",4.59
441,loan441,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",04/07/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
442,loan442,Male,ETSAKO WEST,EDO NORTH,"400,000.00","400,000.00",08/07/2022,07/07/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","435,000.00","436,000.00",0.23
443,loan443,Female,ETSAKO EAST,EDO NORTH,"100,000.00","59,735.61",17/06/2022,15/06/2023,"40,264.39","8,235.61","65,174.85","5,227.39","48,500.00","60,500.00","109,000.00",44.50
444,loan444,Female,OREDO,EDO SOUTH,"500,000.00","500,000.00",14/09/2022,11/09/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
445,loan445,Female,UHUNMWONDE,EDO SOUTH,"500,000.00","500,000.00",04/01/2023,03/01/2024,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
446,loan446,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",08/12/2022,07/12/2023,0.00,0.00,,,0.00,"545,000.00","545,000.00",0.00
447,loan447,Female,OWAN WEST,EDO NORTH,"500,000.00","500,000.00",21/06/2022,20/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
448,loan448,Male,ESAN WEST,EDO CENTRAL,"200,000.00","196,479.45",05/04/2022,04/04/2023,"3,520.55","1,479.45",0.00,0.00,"5,000.00","213,000.00","218,000.00",2.29
449,loan449,Male,ESAN CENTRAL,EDO CENTRAL,"200,000.00","199,479.45",07/04/2022,06/04/2023,520.55,"1,479.45",0.00,0.00,"2,000.00","216,000.00","218,000.00",0.92
450,loan450,Female,EGOR,EDO SOUTH,"300,000.00","276,842.47",04/04/2022,03/04/2023,"23,157.53","20,342.47","206,231.51","13,610.96","43,500.00","283,500.00","327,000.00",13.30
451,loan451,Female,ETSAKO WEST,EDO NORTH,"500,000.00","500,000.00",13/07/2022,12/07/2023,0.00,"1,250.00",0.00,0.00,"1,250.00","543,750.00","545,000.00",0.23
452,loan452,Male,IKPOBA OKHA,EDO SOUTH,"200,000.00","200,000.00",07/04/2022,06/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
453,loan453,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",30/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
454,loan454,Female,IKPOBA OKHA,EDO SOUTH,"500,000.00","500,000.00",05/04/2022,03/04/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","544,000.00","545,000.00",0.18
455,loan455,Male,UHUNMWONDE,EDO SOUTH,"400,000.00","400,000.00",07/07/2022,06/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
456,loan456,Male,OWAN EAST,EDO NORTH,"200,000.00","184,536.99",13/07/2022,12/07/2023,"15,463.01","4,536.99","42,557.55","1,479.45","20,000.00","198,000.00","218,000.00",9.17
457,loan457,Female,ETSAKO EAST,EDO NORTH,"100,000.00","90,768.49",17/06/2022,15/06/2023,"9,231.51","2,268.49","23,739.72","1,528.76","11,500.00","97,500.00","109,000.00",10.55
